x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.1031	0.1358	0.1383	0.1411	0.1442	0.2277	0.003	0.003	0.0031	0.0031	0.0052	0.0038	0.0038	0.0039	0.006	0.0039	0.0039	0.0061	0.0039	0.0061	0.0062	0.0012	0.0012	0.0012	0.0016	0.0012	0.0012	0.0016	0.0013	0.0016	0.0016	0.0014	0.0014	0.0017	0.0014	0.0017	0.0018	0.0014	0.0018	0.0018	0.0018	0.0007	0.0007	0.0008	0.0007	0.0008	0.0008	0.0007	0.0008	0.0008	0.0008	0.0007	0.0009	0.0009	0.0009	0.0009	0.0004	0.0005	0.0005	0.0005	0.0005	0.0005	0.0003
0.1191	0.1732	0.18	0.177	0.1788	0.1235	0.0016	0.0017	0.0016	0.0016	0.001	0.0023	0.0022	0.0022	0.0017	0.0023	0.0023	0.0018	0.0023	0.0017	0.0018	0.0007	0.0007	0.0007	0.0006	0.0007	0.0007	0.0006	0.0007	0.0006	0.0006	0.0008	0.0008	0.0007	0.0008	0.0007	0.0007	0.0008	0.0007	0.0007	0.0007	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001
0.0625	0.0631	0.0669	0.0649	0.0657	0.4536	0.0046	0.0047	0.0046	0.0046	0.0166	0.0047	0.0046	0.0046	0.0167	0.0047	0.0048	0.0177	0.0047	0.017	0.0172	0.002	0.002	0.002	0.004	0.002	0.002	0.0041	0.002	0.004	0.004	0.002	0.002	0.0041	0.002	0.004	0.0041	0.002	0.0041	0.0041	0.0041	0.0011	0.0011	0.0019	0.0011	0.0018	0.0018	0.0011	0.0019	0.0019	0.0019	0.0011	0.0019	0.0019	0.0019	0.0019	0.0006	0.001	0.001	0.001	0.001	0.001	0.0006
0.0407	0.0433	0.0418	0.0422	0.4715	0.0431	0.006	0.0059	0.006	0.0243	0.006	0.0061	0.0061	0.0261	0.0062	0.006	0.025	0.0061	0.0252	0.0061	0.0258	0.0027	0.0027	0.006	0.0027	0.0027	0.0059	0.0027	0.0059	0.0027	0.006	0.0027	0.006	0.0028	0.0061	0.0028	0.0061	0.006	0.0027	0.006	0.006	0.0015	0.0027	0.0015	0.0027	0.0015	0.0027	0.0027	0.0015	0.0027	0.0027	0.0027	0.0015	0.0027	0.0027	0.0027	0.0014	0.0009	0.0015	0.0015	0.0014	0.0015	0.0009
0.0433	0.4419	0.0444	0.0448	0.0453	0.0458	0.026	0.0062	0.0063	0.0063	0.0063	0.0267	0.0269	0.0272	0.0275	0.0063	0.0064	0.0064	0.0064	0.0064	0.0065	0.0062	0.0062	0.0062	0.0063	0.0028	0.0028	0.0028	0.0028	0.0028	0.0029	0.0063	0.0063	0.0063	0.0063	0.0064	0.0064	0.0029	0.0029	0.0029	0.0029	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0015	0.0015	0.0015	0.0015	0.0028	0.0028	0.0029	0.0029	0.0015	0.0015	0.0015	0.0015	0.0015	0.0009	0.0015	0.0009
0.0583	0.4337	0.0596	0.0599	0.0655	0.0613	0.0189	0.0051	0.0051	0.0053	0.0052	0.0192	0.0193	0.0212	0.0196	0.0052	0.0054	0.0052	0.0054	0.0052	0.0054	0.0048	0.0048	0.005	0.0048	0.0024	0.0024	0.0024	0.0024	0.0024	0.0024	0.0048	0.005	0.0049	0.005	0.0049	0.005	0.0024	0.0024	0.0025	0.0025	0.0023	0.0023	0.0023	0.0023	0.0023	0.0023	0.0013	0.0013	0.0013	0.0013	0.0023	0.0023	0.0024	0.0024	0.0013	0.0013	0.0013	0.0013	0.0013	0.0008	0.0013	0.0008
0.0583	0.4337	0.0596	0.0599	0.0655	0.0613	0.0189	0.0051	0.0051	0.0053	0.0052	0.0192	0.0193	0.0212	0.0196	0.0052	0.0054	0.0052	0.0054	0.0052	0.0054	0.0048	0.0048	0.005	0.0048	0.0024	0.0024	0.0024	0.0024	0.0024	0.0024	0.0048	0.005	0.0049	0.005	0.0049	0.005	0.0024	0.0024	0.0025	0.0025	0.0023	0.0023	0.0023	0.0023	0.0023	0.0023	0.0013	0.0013	0.0013	0.0013	0.0023	0.0023	0.0024	0.0024	0.0013	0.0013	0.0013	0.0013	0.0013	0.0008	0.0013	0.0008
0.0856	0.2873	0.1897	0.0887	0.0885	0.0892	0.0105	0.0056	0.0034	0.0034	0.0034	0.0132	0.0111	0.011	0.0111	0.0059	0.0058	0.0059	0.0035	0.0035	0.0035	0.0031	0.0028	0.0027	0.0028	0.0019	0.0019	0.0019	0.0015	0.0015	0.0015	0.0032	0.0032	0.0032	0.0028	0.0028	0.0028	0.0019	0.0019	0.0019	0.0015	0.0014	0.0014	0.0014	0.0013	0.0013	0.0013	0.001	0.001	0.001	0.0008	0.0015	0.0015	0.0015	0.0013	0.001	0.0008	0.0008	0.0008	0.0007	0.0006	0.0008	0.0005
0.0839	0.3058	0.3176	0.0851	0.0854	0.0857	0.0017	0.0018	0.0007	0.0007	0.0007	0.003	0.0017	0.0017	0.0018	0.0019	0.0019	0.0019	0.0007	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0003	0.0003	0.0003	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001
0.0405	0.3812	0.0448	0.0419	0.0423	0.0427	0.0303	0.0078	0.0076	0.0076	0.0077	0.0338	0.0314	0.0317	0.032	0.0079	0.0079	0.008	0.0077	0.0078	0.0078	0.0078	0.0076	0.0076	0.0076	0.0035	0.0035	0.0035	0.0035	0.0035	0.0035	0.0079	0.0079	0.008	0.0077	0.0077	0.0078	0.0036	0.0036	0.0036	0.0035	0.0035	0.0035	0.0035	0.0035	0.0035	0.0035	0.0019	0.0019	0.0019	0.0019	0.0036	0.0036	0.0036	0.0035	0.0019	0.0019	0.0019	0.0019	0.0019	0.0011	0.0019	0.0011
