x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0276	0.0312	0.0308	0.031	0.031	0.0326	0.0034	0.0034	0.0034	0.0034	0.0034	0.0035	0.0035	0.0035	0.0036	0.0035	0.0035	0.0035	0.0035	0.0035	0.0035	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009
0.0365	0.0575	0.0684	0.0568	0.0566	0.0403	0.0039	0.0042	0.0038	0.0038	0.0034	0.0049	0.0045	0.0044	0.004	0.0048	0.0048	0.0043	0.0044	0.0039	0.0039	0.0014	0.0013	0.0013	0.0013	0.0014	0.0014	0.0013	0.0013	0.0013	0.0013	0.0014	0.0014	0.0014	0.0014	0.0013	0.0013	0.0014	0.0014	0.0014	0.0013	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009
0.0023	0.0037	0.005	0.0028	0.0025	0.2682	0.0016	0.0017	0.0016	0.0015	0.0105	0.0019	0.0017	0.0016	0.0116	0.0018	0.0017	0.0126	0.0016	0.0108	0.0105	0.0012	0.0011	0.0011	0.0021	0.0011	0.0011	0.0022	0.0011	0.002	0.002	0.0012	0.0012	0.0024	0.0011	0.0021	0.0021	0.0011	0.0022	0.0022	0.002	0.001	0.001	0.0013	0.001	0.0013	0.0013	0.001	0.0013	0.0013	0.0012	0.001	0.0013	0.0013	0.0013	0.0013	0.0009	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011
0.0136	0.0968	0.0147	0.0143	0.2498	0.0146	0.0091	0.0052	0.0051	0.0151	0.0051	0.0094	0.0092	0.0949	0.0091	0.0052	0.0159	0.0052	0.0155	0.0051	0.0153	0.0042	0.0042	0.0095	0.0042	0.0033	0.0053	0.0033	0.0052	0.0033	0.0052	0.0043	0.0099	0.0043	0.0096	0.0042	0.0095	0.0053	0.0033	0.0053	0.0052	0.003	0.0044	0.003	0.0044	0.003	0.0043	0.0034	0.0025	0.0034	0.0034	0.0044	0.003	0.0044	0.0044	0.0034	0.0032	0.0025	0.0032	0.0031	0.0026	0.0032	0.0027
0.0038	0.72	0.0054	0.0052	0.0051	0.0051	0.0091	0.001	0.001	0.001	0.001	0.0094	0.0092	0.0091	0.0091	0.001	0.001	0.001	0.001	0.001	0.001	0.0011	0.0011	0.0011	0.0011	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0005	0.0007	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0005	0.0005	0.0004	0.0005	0.0005
0.0015	0.4441	0.004	0.0039	0.0046	0.0039	0.0108	0.0014	0.0014	0.0014	0.0014	0.011	0.0109	0.0115	0.0109	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0017	0.0017	0.0017	0.0017	0.001	0.001	0.001	0.001	0.001	0.001	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.001	0.001	0.001	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0011	0.0008	0.0008	0.0008	0.0008	0.0011	0.0011	0.0011	0.0011	0.0008	0.0009	0.0009	0.0009	0.0009	0.0007	0.0009	0.0008
0.0015	0.4441	0.004	0.0039	0.0046	0.0039	0.0108	0.0014	0.0014	0.0014	0.0014	0.011	0.0109	0.0115	0.0109	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0017	0.0017	0.0017	0.0017	0.001	0.001	0.001	0.001	0.001	0.001	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.001	0.001	0.001	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0011	0.0008	0.0008	0.0008	0.0008	0.0011	0.0011	0.0011	0.0011	0.0008	0.0009	0.0009	0.0009	0.0009	0.0007	0.0009	0.0008
0.0072	0.2784	0.1018	0.0102	0.0096	0.0096	0.0085	0.004	0.0017	0.0017	0.0017	0.0114	0.0088	0.0086	0.0086	0.0041	0.004	0.004	0.0018	0.0018	0.0017	0.0019	0.0017	0.0016	0.0016	0.0013	0.0013	0.0013	0.0011	0.0011	0.0011	0.0019	0.0019	0.0019	0.0017	0.0017	0.0016	0.0013	0.0013	0.0013	0.0011	0.0012	0.0011	0.0011	0.0011	0.0011	0.0011	0.001	0.001	0.001	0.0009	0.0012	0.0012	0.0011	0.0011	0.001	0.001	0.001	0.001	0.0009	0.0009	0.001	0.0009
0.0241	0.3044	0.4628	0.0256	0.025	0.0249	0.0017	0.0029	0.0007	0.0007	0.0007	0.0049	0.0017	0.0017	0.0017	0.003	0.0029	0.0029	0.0007	0.0007	0.0007	0.0006	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0006	0.0006	0.0006	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002
0.0146	0.3154	0.1118	0.0156	0.0153	0.0152	0.0156	0.0091	0.005	0.0049	0.0049	0.1105	0.0162	0.0158	0.0158	0.0093	0.0091	0.0091	0.005	0.005	0.0049	0.0093	0.005	0.005	0.005	0.004	0.004	0.004	0.0031	0.0031	0.003	0.0096	0.0094	0.0094	0.005	0.005	0.005	0.004	0.004	0.004	0.0031	0.0041	0.0041	0.0041	0.0031	0.0031	0.0031	0.0027	0.0027	0.0027	0.0023	0.0041	0.0041	0.0041	0.0031	0.0027	0.0028	0.0028	0.0028	0.0023	0.0022	0.0028	0.0023
