x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.1361	0.1897	0.1699	0.1668	0.1575	0.1777	0.0001	0.0001	0.0	0.0	0.0	0.0002	0.0002	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0684	0.1936	0.3261	0.1686	0.1587	0.0758	0.0002	0.0005	0.0001	0.0001	0.0001	0.0016	0.0003	0.0002	0.0006	0.0011	0.0009	0.0007	0.0001	0.0003	0.0002	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0034	0.0127	0.0164	0.0062	0.0037	0.8954	0.0007	0.0007	0.0004	0.0002	0.0034	0.0015	0.0008	0.0007	0.0127	0.0009	0.0007	0.0164	0.0004	0.0062	0.0037	0.0003	0.0002	0.0002	0.0007	0.0002	0.0001	0.0007	0.0001	0.0004	0.0002	0.0003	0.0003	0.0015	0.0002	0.0008	0.0007	0.0002	0.0009	0.0007	0.0004	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0033	0.2969	0.0063	0.004	0.2909	0.0036	0.0075	0.0005	0.0003	0.0033	0.0003	0.0095	0.008	0.2969	0.0076	0.0005	0.0063	0.0005	0.004	0.0003	0.0036	0.0008	0.0006	0.0075	0.0006	0.0001	0.0005	0.0001	0.0003	0.0001	0.0003	0.0008	0.0095	0.0008	0.008	0.0006	0.0076	0.0005	0.0001	0.0005	0.0003	0.0002	0.0008	0.0002	0.0006	0.0001	0.0006	0.0001	0.0001	0.0001	0.0001	0.0008	0.0002	0.0008	0.0006	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001
0.0036	0.9592	0.0043	0.0039	0.0037	0.0037	0.0036	0.0001	0.0001	0.0001	0.0001	0.0043	0.0039	0.0037	0.0037	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0019	0.9765	0.0025	0.0021	0.0028	0.0019	0.0019	0.0	0.0	0.0	0.0	0.0025	0.0021	0.0028	0.0019	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0019	0.9765	0.0025	0.0021	0.0028	0.0019	0.0019	0.0	0.0	0.0	0.0	0.0025	0.0021	0.0028	0.0019	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0051	0.7663	0.1915	0.0066	0.0054	0.0053	0.0026	0.0005	0.0001	0.0001	0.0001	0.0048	0.0033	0.0027	0.0026	0.0008	0.0005	0.0005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0095	0.3697	0.5848	0.0106	0.0097	0.0096	0.0001	0.0007	0.0	0.0	0.0	0.0022	0.0001	0.0001	0.0001	0.0008	0.0008	0.0007	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.004	0.554	0.1843	0.0047	0.0041	0.0041	0.004	0.0044	0.0002	0.0002	0.0002	0.1843	0.0047	0.0041	0.0041	0.0049	0.0045	0.0045	0.0002	0.0002	0.0002	0.0044	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0049	0.0045	0.0045	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
