x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0012	0.0012	0.0158	0.0012	0.0012	0.0158	0.0018	0.0131	0.0018	0.0018	0.0131	0.0131	0.0018	0.0018	0.0131	0.0131	0.0131	0.0469	0.0018	0.0131	0.0131	0.0119	0.0022	0.0022	0.0119	0.0119	0.0119	0.0405	0.0022	0.0119	0.0119	0.0119	0.0119	0.0405	0.0022	0.0119	0.0119	0.0119	0.0405	0.0405	0.0119	0.0111	0.0111	0.0361	0.0025	0.0111	0.0111	0.0111	0.0361	0.0361	0.0111	0.0111	0.0361	0.0361	0.0111	0.0361	0.0105	0.0325	0.0325	0.0105	0.0325	0.0325	0.0294
0.0014	0.0014	0.0014	0.0014	0.0014	0.0676	0.0019	0.0019	0.0019	0.0019	0.0451	0.0019	0.0019	0.0019	0.0451	0.0019	0.0019	0.0451	0.0019	0.0451	0.0451	0.002	0.002	0.002	0.0319	0.002	0.002	0.0319	0.002	0.0319	0.0319	0.002	0.002	0.0319	0.002	0.0319	0.0319	0.002	0.0319	0.0319	0.0319	0.0019	0.0019	0.0232	0.0019	0.0232	0.0232	0.0019	0.0232	0.0232	0.0232	0.0019	0.0232	0.0232	0.0232	0.0232	0.0017	0.0171	0.0171	0.0171	0.0171	0.0171	0.0128
0.0001	0.0007	0.0007	0.0007	0.0007	0.0001	0.0008	0.0008	0.0008	0.0008	0.0001	0.0054	0.0054	0.0054	0.0008	0.0054	0.0054	0.0008	0.0054	0.0008	0.0008	0.0053	0.0053	0.0053	0.0009	0.0053	0.0053	0.0009	0.0053	0.0009	0.0009	0.0305	0.0305	0.0053	0.0305	0.0053	0.0053	0.0305	0.0053	0.0053	0.0053	0.0268	0.0268	0.0052	0.0268	0.0052	0.0052	0.0268	0.0052	0.0052	0.0052	0.1317	0.0268	0.0268	0.0268	0.0268	0.1065	0.0233	0.0233	0.0233	0.0233	0.1065	0.0862
0.0005	0.308	0.0005	0.0005	0.0005	0.0005	0.0813	0.0002	0.0002	0.0002	0.0002	0.0813	0.0813	0.0813	0.0813	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0215	0.0215	0.0215	0.0215	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0215	0.0215	0.0215	0.0215	0.0215	0.0215	0.0001	0.0001	0.0001	0.0001	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.0	0.0	0.0	0.0	0.0057	0.0057	0.0057	0.0057	0.0	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0004
0.0005	0.0005	0.0005	0.0005	0.308	0.0005	0.0002	0.0002	0.0002	0.0813	0.0002	0.0002	0.0002	0.0813	0.0002	0.0002	0.0813	0.0002	0.0813	0.0002	0.0813	0.0001	0.0001	0.0215	0.0001	0.0001	0.0215	0.0001	0.0215	0.0001	0.0215	0.0001	0.0215	0.0001	0.0215	0.0001	0.0215	0.0215	0.0001	0.0215	0.0215	0.0	0.0057	0.0	0.0057	0.0	0.0057	0.0057	0.0	0.0057	0.0057	0.0057	0.0	0.0057	0.0057	0.0057	0.0015	0.0	0.0015	0.0015	0.0015	0.0015	0.0004
0.001	0.101	0.001	0.001	0.001	0.001	0.0566	0.0012	0.0012	0.0012	0.0012	0.0566	0.0566	0.0566	0.0566	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0328	0.0328	0.0328	0.0328	0.001	0.001	0.001	0.001	0.001	0.001	0.0328	0.0328	0.0328	0.0328	0.0328	0.0328	0.001	0.001	0.001	0.001	0.0193	0.0193	0.0193	0.0193	0.0193	0.0193	0.0008	0.0008	0.0008	0.0008	0.0193	0.0193	0.0193	0.0193	0.0008	0.0114	0.0114	0.0114	0.0114	0.0006	0.0114	0.0068
0.001	0.101	0.001	0.001	0.001	0.001	0.0566	0.0012	0.0012	0.0012	0.0012	0.0566	0.0566	0.0566	0.0566	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0328	0.0328	0.0328	0.0328	0.001	0.001	0.001	0.001	0.001	0.001	0.0328	0.0328	0.0328	0.0328	0.0328	0.0328	0.001	0.001	0.001	0.001	0.0193	0.0193	0.0193	0.0193	0.0193	0.0193	0.0008	0.0008	0.0008	0.0008	0.0193	0.0193	0.0193	0.0193	0.0008	0.0114	0.0114	0.0114	0.0114	0.0006	0.0114	0.0068
0.0011	0.0011	0.0907	0.0011	0.0011	0.0011	0.0013	0.0535	0.0013	0.0013	0.0013	0.0535	0.0013	0.0013	0.0013	0.0535	0.0535	0.0535	0.0013	0.0013	0.0013	0.0328	0.0012	0.0012	0.0012	0.0328	0.0328	0.0328	0.0012	0.0012	0.0012	0.0328	0.0328	0.0328	0.0012	0.0012	0.0012	0.0328	0.0328	0.0328	0.0012	0.0205	0.0205	0.0205	0.001	0.001	0.001	0.0205	0.0205	0.0205	0.001	0.0205	0.0205	0.0205	0.001	0.0205	0.0129	0.0129	0.0129	0.0008	0.0129	0.0129	0.0082
0.0002	0.5056	0.0002	0.0002	0.0002	0.0002	0.0737	0.0001	0.0001	0.0001	0.0001	0.0737	0.0737	0.0737	0.0737	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0107	0.0107	0.0107	0.0107	0.0	0.0	0.0	0.0	0.0	0.0	0.0107	0.0107	0.0107	0.0107	0.0107	0.0107	0.0	0.0	0.0	0.0	0.0016	0.0016	0.0016	0.0016	0.0016	0.0016	0.0	0.0	0.0	0.0	0.0016	0.0016	0.0016	0.0016	0.0	0.0002	0.0002	0.0002	0.0002	0.0	0.0002	0.0
0.0	0.0034	0.0034	0.0	0.0	0.0	0.0007	0.0007	0.0	0.0	0.0	0.572	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0	0.0	0.0	0.0833	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0833	0.0833	0.0833	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0121	0.0121	0.0121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121	0.0121	0.0121	0.0	0.0	0.0018	0.0018	0.0018	0.0	0.0	0.0018	0.0003
