x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64
0.0	0.1365	0.1897	0.1698	0.1667	0.1574	0.1775	0.0001	0.0001	0.0	0.0	0.0	0.0002	0.0002	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0688	0.1935	0.3256	0.1685	0.1585	0.0761	0.0002	0.0005	0.0001	0.0001	0.0001	0.0016	0.0003	0.0002	0.0006	0.0011	0.0009	0.0007	0.0002	0.0003	0.0002	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0035	0.0128	0.0165	0.0063	0.0038	0.894	0.0007	0.0007	0.0004	0.0002	0.0035	0.0015	0.0009	0.0007	0.0128	0.0009	0.0007	0.0165	0.0004	0.0063	0.0038	0.0003	0.0002	0.0002	0.0007	0.0002	0.0002	0.0007	0.0001	0.0004	0.0002	0.0003	0.0003	0.0015	0.0002	0.0009	0.0007	0.0002	0.0009	0.0007	0.0004	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0001	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0033	0.2963	0.0064	0.0041	0.2907	0.0036	0.0075	0.0005	0.0003	0.0033	0.0003	0.0096	0.0081	0.2963	0.0077	0.0005	0.0064	0.0005	0.0041	0.0003	0.0036	0.0008	0.0006	0.0075	0.0006	0.0001	0.0005	0.0001	0.0003	0.0001	0.0003	0.0008	0.0096	0.0008	0.0081	0.0006	0.0077	0.0005	0.0001	0.0005	0.0003	0.0002	0.0008	0.0002	0.0006	0.0001	0.0006	0.0001	0.0001	0.0001	0.0001	0.0008	0.0002	0.0008	0.0006	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001
0.0	0.0037	0.9587	0.0044	0.0039	0.0037	0.0037	0.0037	0.0001	0.0001	0.0001	0.0001	0.0044	0.0039	0.0037	0.0037	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0019	0.9762	0.0026	0.0021	0.0029	0.0019	0.0019	0.0	0.0	0.0	0.0	0.0026	0.0021	0.0029	0.0019	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0019	0.9762	0.0026	0.0021	0.0029	0.0019	0.0019	0.0	0.0	0.0	0.0	0.0026	0.0021	0.0029	0.0019	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0052	0.7656	0.1916	0.0067	0.0054	0.0054	0.0026	0.0005	0.0001	0.0001	0.0001	0.0048	0.0033	0.0027	0.0027	0.0008	0.0005	0.0005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0096	0.3694	0.5846	0.0107	0.0098	0.0097	0.0001	0.0008	0.0	0.0	0.0	0.0023	0.0001	0.0001	0.0001	0.0009	0.0008	0.0008	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.004	0.5532	0.1842	0.0048	0.0041	0.0041	0.004	0.0045	0.0002	0.0002	0.0002	0.1842	0.0048	0.0041	0.0041	0.005	0.0046	0.0045	0.0002	0.0002	0.0002	0.0045	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.005	0.0046	0.0045	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0043	0.8249	0.0456	0.0189	0.0049	0.0044	0.0043	0.0013	0.0006	0.0002	0.0002	0.0456	0.0189	0.0049	0.0044	0.0019	0.0014	0.0014	0.0006	0.0006	0.0002	0.0013	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0019	0.0014	0.0014	0.0006	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0002	0.0002	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0043	0.8249	0.0456	0.0189	0.0049	0.0044	0.0043	0.0013	0.0006	0.0002	0.0002	0.0456	0.0189	0.0049	0.0044	0.0019	0.0014	0.0014	0.0006	0.0006	0.0002	0.0013	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0019	0.0014	0.0014	0.0006	0.0006	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0002	0.0002	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0028	0.4016	0.0063	0.3839	0.0056	0.0031	0.0017	0.0002	0.0014	0.0001	0.0001	0.0031	0.1671	0.0021	0.0018	0.0037	0.0002	0.0002	0.0015	0.0015	0.0001	0.0002	0.0016	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0029	0.0002	0.0002	0.0017	0.0017	0.0001	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0002	0.0002	0.0001	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0
