x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64
0.0	0.0238	0.033	0.0296	0.029	0.0274	0.0309	0.0021	0.002	0.002	0.0019	0.0021	0.0024	0.0024	0.0023	0.0024	0.0022	0.0021	0.0023	0.0021	0.0023	0.0022	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0211	0.0593	0.0997	0.0516	0.0485	0.0233	0.0021	0.0033	0.0019	0.0018	0.0012	0.0046	0.0029	0.0029	0.0023	0.0042	0.0041	0.0034	0.0026	0.002	0.0019	0.0003	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	0.0004	0.0004	0.0003	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0011	0.0039	0.0051	0.0019	0.0012	0.2738	0.0003	0.0004	0.0002	0.0001	0.0081	0.0007	0.0004	0.0003	0.0108	0.0004	0.0004	0.0119	0.0002	0.0089	0.0082	0.0001	0.0001	0.0001	0.0008	0.0001	0.0001	0.0009	0.0001	0.0006	0.0006	0.0002	0.0001	0.0013	0.0001	0.0009	0.0008	0.0001	0.001	0.0009	0.0006	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0025	0.227	0.0049	0.0031	0.2227	0.0028	0.0071	0.0004	0.0003	0.0039	0.0003	0.0086	0.0075	0.2257	0.0072	0.0004	0.0061	0.0004	0.0044	0.0003	0.0041	0.0008	0.0006	0.0085	0.0006	0.0001	0.0005	0.0001	0.0003	0.0001	0.0003	0.0008	0.0101	0.0008	0.0089	0.0006	0.0086	0.0005	0.0001	0.0005	0.0003	0.0002	0.0009	0.0002	0.0007	0.0001	0.0007	0.0001	0.0001	0.0001	0.0001	0.0009	0.0002	0.0009	0.0008	0.0001	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001
0.0	0.0028	0.7347	0.0034	0.003	0.0029	0.0029	0.0072	0.0001	0.0001	0.0001	0.0001	0.0077	0.0074	0.0072	0.0072	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0009	0.4489	0.0012	0.001	0.0013	0.0009	0.0086	0.0001	0.0	0.0001	0.0	0.0088	0.0086	0.009	0.0086	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0004	0.0003	0.0004	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0009	0.4489	0.0012	0.001	0.0013	0.0009	0.0086	0.0001	0.0	0.0001	0.0	0.0088	0.0086	0.009	0.0086	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0004	0.0003	0.0004	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0022	0.323	0.0808	0.0028	0.0023	0.0023	0.0072	0.0018	0.0001	0.0001	0.0001	0.0096	0.0075	0.0073	0.0073	0.0019	0.0018	0.0018	0.0001	0.0001	0.0001	0.0005	0.0004	0.0004	0.0003	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0084	0.3222	0.51	0.0094	0.0085	0.0085	0.0011	0.0023	0.0001	0.0001	0.0001	0.0045	0.0011	0.0011	0.0011	0.0023	0.0023	0.0023	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0035	0.4826	0.1607	0.0042	0.0036	0.0036	0.005	0.0044	0.0002	0.0002	0.0002	0.1612	0.0056	0.0051	0.0051	0.0048	0.0044	0.0044	0.0002	0.0002	0.0002	0.0049	0.0003	0.0002	0.0002	0.0003	0.0003	0.0003	0.0	0.0	0.0	0.0053	0.005	0.0049	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0	0.0004	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0004	0.0004	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0001	0.0
