Model	lnL	n	k	null	d	e	j	birthRate	deathRate	u	u_e	u_mu	AICc	AICc_wt
phybears_DEC_M0_mr3	-351	96	2	yes	0.0042	1.0e-12	0	0.17	0	0	0	0	706.2	0.10
phybears_DECj_M0_mr3	-343.9	96	3	yes	0.0020	1.0e-12	0.0076	0.17	0	0	0	0	694.1	42.84
phybears_DEC+B=D_M0_mr3	-371.5	96	3	yes	0.0063	1.0e-12	0	0.23	0.23	0	0	0	749.3	4.5e-11
phybears_DECj+B=D_M0_mr3	-371.9	96	4	yes	0.0018	1.0e-12	0.0096	0.14	0.14	0	0	0	752.1	1.1e-11
phybears_DEC+BD_M0_mr3	-351	96	4	yes	0.0043	1.0e-12	0	0.17	0	0	0	0	710.5	0.012
phybears_DECj+BD_M0_mr3	-343.7	96	5	yes	0.0015	1.0e-12	0.0080	0.17	0	0	0	0	698.1	5.86
phybears_DEC+B+e_M0_mr3	-351.1	96	3	no	0.0042	1.0e-12	0	0.17	1.0e-12	-100	0	-100	708.4	0.034
phybears_DECj+B+e_M0_mr3	-345.1	96	4	no	0.0015	1.0e-12	0.0076	0.14	1.0e-12	-100	0	-100	698.7	4.36
phybears_DEC+B=D=e_M0_mr3	-369.1	96	2	no	0.0075	0.21	0	0.21	0.21	-100	0	-100	742.4	1.4e-09
phybears_DECj+B=D=e_M0_mr3	-367.4	96	3	no	0.0061	0.22	0.0028	0.22	0.22	-100	0	-100	741.1	2.7e-09
phybears_DEC+B+d=e=D_M0_mr3	-369.1	96	2	no	0.0075	0.21	0	0.21	0.21	-100	0	-100	742.4	1.4e-09
phybears_DECj+B+d=e=D_M0_mr3	-343.8	96	3	no	0.0015	0.0015	0.0077	0.17	0.0015	-100	0	-100	693.9	46.79
