x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.1456	0.1729	0.1702	0.1698	0.1698	0.1715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1216	0.1882	0.193	0.1849	0.1849	0.1271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0114	0.0156	0.0231	0.0112	0.0112	0.8874	0.0006	0.0006	0.0005	0.0005	0.003	0.0008	0.0006	0.0006	0.0061	0.0006	0.0006	0.0056	0.0005	0.0029	0.0029	0.0003	0.0003	0.0003	0.0006	0.0003	0.0003	0.0006	0.0003	0.0005	0.0005	0.0003	0.0003	0.0008	0.0003	0.0006	0.0006	0.0003	0.0006	0.0006	0.0005	0.0002	0.0002	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001
0.0153	0.2796	0.0213	0.016	0.4148	0.0159	0.0051	0.0032	0.0031	0.0093	0.0031	0.0058	0.0051	0.0621	0.0051	0.0032	0.011	0.0032	0.0094	0.0031	0.0094	0.0024	0.0023	0.0046	0.0023	0.0018	0.0031	0.0018	0.003	0.0018	0.003	0.0024	0.0052	0.0024	0.0046	0.0023	0.0046	0.0031	0.0018	0.0031	0.003	0.0015	0.0023	0.0015	0.0022	0.0015	0.0022	0.0018	0.0012	0.0018	0.0018	0.0023	0.0015	0.0023	0.0022	0.0018	0.0015	0.0011	0.0015	0.0014	0.0012	0.0015	0.0011
0.0094	0.9353	0.0103	0.0095	0.0094	0.0094	0.0021	0.0002	0.0002	0.0002	0.0002	0.0028	0.0021	0.0021	0.0021	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
0.0087	0.941	0.0098	0.0088	0.0108	0.0088	0.0013	0.0001	0.0001	0.0001	0.0001	0.002	0.0013	0.0019	0.0013	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0087	0.941	0.0098	0.0088	0.0108	0.0088	0.0013	0.0001	0.0001	0.0001	0.0001	0.002	0.0013	0.0019	0.0013	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0164	0.7663	0.1536	0.0174	0.0165	0.0165	0.0014	0.0002	0.0001	0.0001	0.0001	0.0022	0.0016	0.0014	0.0014	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
0.0238	0.4239	0.4775	0.0244	0.0238	0.0238	0.0001	0.0002	0.0	0.0	0.0	0.0009	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0109	0.7731	0.0836	0.0115	0.0111	0.0111	0.0043	0.0019	0.001	0.001	0.001	0.0372	0.0044	0.0043	0.0043	0.0019	0.0019	0.0019	0.001	0.001	0.001	0.0018	0.001	0.001	0.001	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0018	0.0018	0.0018	0.001	0.001	0.001	0.0007	0.0007	0.0007	0.0005	0.0007	0.0007	0.0007	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0003	0.0007	0.0007	0.0007	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0004	0.0003
0.0124	0.6909	0.1147	0.0276	0.0127	0.0127	0.0056	0.0024	0.0017	0.0015	0.0015	0.034	0.0122	0.0057	0.0057	0.0027	0.0024	0.0024	0.0017	0.0017	0.0015	0.0022	0.0017	0.0015	0.0015	0.0011	0.0011	0.0011	0.0009	0.0009	0.0009	0.0025	0.0022	0.0022	0.0017	0.0017	0.0015	0.0011	0.0011	0.0011	0.0009	0.0011	0.001	0.001	0.0009	0.0009	0.0009	0.0007	0.0007	0.0007	0.0006	0.0011	0.0011	0.001	0.0009	0.0007	0.0007	0.0007	0.0007	0.0006	0.0005	0.0007	0.0005
0.0124	0.6909	0.1147	0.0276	0.0127	0.0127	0.0056	0.0024	0.0017	0.0015	0.0015	0.034	0.0122	0.0057	0.0057	0.0027	0.0024	0.0024	0.0017	0.0017	0.0015	0.0022	0.0017	0.0015	0.0015	0.0011	0.0011	0.0011	0.0009	0.0009	0.0009	0.0025	0.0022	0.0022	0.0017	0.0017	0.0015	0.0011	0.0011	0.0011	0.0009	0.0011	0.001	0.001	0.0009	0.0009	0.0009	0.0007	0.0007	0.0007	0.0006	0.0011	0.0011	0.001	0.0009	0.0007	0.0007	0.0007	0.0007	0.0006	0.0005	0.0007	0.0005
0.011	0.3969	0.0132	0.4563	0.0121	0.0113	0.002	0.0013	0.0038	0.0012	0.0012	0.0023	0.0302	0.002	0.002	0.0042	0.0013	0.0013	0.0038	0.0038	0.0012	0.0009	0.0018	0.0009	0.0009	0.0012	0.0007	0.0007	0.0012	0.0012	0.0007	0.002	0.0009	0.0009	0.0018	0.0018	0.0009	0.0012	0.0012	0.0007	0.0012	0.0009	0.0006	0.0006	0.0009	0.0009	0.0006	0.0007	0.0007	0.0005	0.0007	0.0009	0.0009	0.0006	0.0009	0.0007	0.0006	0.0006	0.0004	0.0006	0.0005	0.0006	0.0004
0.0185	0.137	0.1962	0.4236	0.0319	0.0186	0.003	0.0039	0.0076	0.0023	0.0023	0.008	0.0137	0.0031	0.003	0.0255	0.0042	0.0039	0.0077	0.0076	0.0023	0.0021	0.0028	0.0014	0.0014	0.0037	0.0017	0.0017	0.0022	0.0022	0.0011	0.0058	0.0022	0.0021	0.0028	0.0028	0.0014	0.0037	0.0037	0.0017	0.0022	0.0021	0.0011	0.0011	0.0013	0.0013	0.0008	0.0016	0.0016	0.0009	0.0011	0.0021	0.0021	0.0011	0.0013	0.0016	0.0011	0.001	0.0006	0.0007	0.0009	0.0011	0.0006
0.0099	0.0107	0.012	0.8812	0.0639	0.0099	0.0001	0.0001	0.001	0.0002	0.0001	0.0002	0.0015	0.0003	0.0001	0.0022	0.0003	0.0001	0.0019	0.001	0.0002	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0078	0.0079	0.0081	0.958	0.0078	0.0078	0.0	0.0	0.0003	0.0	0.0	0.0	0.0004	0.0	0.0	0.0006	0.0	0.0	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0093	0.0096	0.0102	0.4226	0.487	0.0094	0.0006	0.0006	0.001	0.0019	0.0005	0.0006	0.0011	0.002	0.0006	0.0013	0.0022	0.0006	0.0186	0.001	0.0019	0.0003	0.0004	0.0005	0.0003	0.0004	0.0006	0.0003	0.0009	0.0004	0.0005	0.0004	0.0006	0.0003	0.001	0.0004	0.0005	0.0011	0.0004	0.0006	0.0009	0.0002	0.0003	0.0002	0.0004	0.0002	0.0003	0.0004	0.0002	0.0003	0.0004	0.0004	0.0002	0.0003	0.0004	0.0004	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
0.008	0.0268	0.0084	0.9374	0.0085	0.008	0.0	0.0	0.0003	0.0	0.0	0.0001	0.0007	0.0	0.0	0.0005	0.0	0.0	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.008	0.4852	0.0081	0.4675	0.0081	0.008	0.0005	0.0002	0.0003	0.0002	0.0002	0.0006	0.0064	0.0005	0.0005	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0
0.0076	0.0076	0.0076	0.9614	0.0076	0.0076	0.0	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0096	0.0099	0.0103	0.902	0.0564	0.0096	0.0	0.0	0.0003	0.0	0.0	0.0	0.0003	0.0	0.0	0.0005	0.0	0.0	0.0003	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
