x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0415	0.0435	0.0423	0.0421	0.0421	0.0426	0.0011	0.0011	0.0011	0.0011	0.0011	0.0012	0.0012	0.0012	0.0012	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0503	0.0752	0.08	0.0714	0.0713	0.0473	0.0012	0.0012	0.0011	0.0011	0.0009	0.0015	0.0013	0.0013	0.0011	0.0014	0.0014	0.0012	0.0013	0.0011	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.004	0.0063	0.0097	0.0038	0.0038	0.3576	0.0002	0.0002	0.0001	0.0001	0.0041	0.0004	0.0002	0.0002	0.0059	0.0002	0.0002	0.0053	0.0001	0.0041	0.004	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0	0.0002	0.0002	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002	0.0	0.0002	0.0002	0.0002	0.0	0.0	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0067	0.3359	0.0136	0.0069	0.3687	0.0068	0.0018	0.0001	0.0001	0.0019	0.0001	0.0024	0.0018	0.0591	0.0018	0.0001	0.0035	0.0001	0.002	0.0001	0.0019	0.0001	0.0	0.0009	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0013	0.0001	0.0009	0.0	0.0009	0.0001	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0071	0.7685	0.0078	0.0071	0.0071	0.0071	0.0028	0.0001	0.0	0.0	0.0	0.0034	0.0028	0.0028	0.0028	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0044	0.5178	0.005	0.0044	0.005	0.0044	0.0036	0.0001	0.0001	0.0001	0.0001	0.004	0.0036	0.0038	0.0036	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0044	0.5178	0.005	0.0044	0.005	0.0044	0.0036	0.0001	0.0001	0.0001	0.0001	0.004	0.0036	0.0038	0.0036	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0044	0.4242	0.063	0.0047	0.0044	0.0044	0.0034	0.0005	0.0001	0.0001	0.0001	0.0042	0.0035	0.0034	0.0034	0.0005	0.0005	0.0005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0078	0.4137	0.4521	0.0081	0.0078	0.0078	0.0005	0.0006	0.0	0.0	0.0	0.0018	0.0005	0.0005	0.0005	0.0006	0.0006	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0074	0.7747	0.0584	0.0076	0.0074	0.0074	0.0021	0.0004	0.0	0.0	0.0	0.0287	0.0021	0.0021	0.0021	0.0004	0.0004	0.0004	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0004	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
