x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.0146	0.0192	0.2783	0.0199	0.0203	0.4404	0.0006	0.0049	0.0006	0.0006	0.0081	0.0061	0.0008	0.0008	0.0094	0.0062	0.0063	0.0371	0.0008	0.0096	0.0097	0.0018	0.0003	0.0003	0.0023	0.0018	0.0018	0.0085	0.0003	0.0023	0.0023	0.002	0.002	0.0092	0.0003	0.0025	0.0025	0.002	0.0093	0.0094	0.0025	0.0009	0.0009	0.0038	0.0002	0.0011	0.0011	0.0009	0.0038	0.0039	0.0011	0.001	0.0041	0.0041	0.0011	0.0041	0.0005	0.002	0.002	0.0006	0.002	0.0021	0.0011
0.0163	0.0236	0.0243	0.024	0.0242	0.8316	0.0002	0.0002	0.0002	0.0002	0.0037	0.0003	0.0003	0.0003	0.006	0.0003	0.0003	0.0063	0.0003	0.0061	0.0062	0.0001	0.0001	0.0001	0.0014	0.0001	0.0001	0.0014	0.0001	0.0014	0.0014	0.0001	0.0001	0.0017	0.0001	0.0017	0.0017	0.0001	0.0017	0.0017	0.0017	0.0	0.0	0.0006	0.0	0.0006	0.0006	0.0	0.0006	0.0006	0.0006	0.0001	0.0007	0.0007	0.0007	0.0007	0.0	0.0003	0.0003	0.0003	0.0003	0.0003	0.0001
0.0015	0.02	0.0211	0.0206	0.0209	0.01	0.0016	0.0017	0.0016	0.0017	0.0007	0.0134	0.0132	0.0132	0.006	0.0135	0.0136	0.0063	0.0133	0.0061	0.0061	0.0056	0.0056	0.0056	0.0016	0.0057	0.0057	0.0016	0.0056	0.0016	0.0016	0.0374	0.0375	0.0115	0.0372	0.0113	0.0114	0.0377	0.0116	0.0116	0.0115	0.0174	0.0174	0.005	0.0173	0.005	0.005	0.0175	0.0051	0.0051	0.005	0.0987	0.0304	0.0305	0.0303	0.0307	0.0473	0.0141	0.0142	0.0141	0.0143	0.0748	0.0361
0.001	0.716	0.001	0.001	0.0106	0.0011	0.0257	0.0001	0.0001	0.0003	0.0001	0.026	0.0261	0.1097	0.0263	0.0001	0.0003	0.0001	0.0003	0.0001	0.0003	0.0031	0.0031	0.0068	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0069	0.0032	0.0069	0.0032	0.007	0.0	0.0	0.0	0.0	0.0004	0.0008	0.0004	0.0008	0.0004	0.0008	0.0	0.0	0.0	0.0	0.0008	0.0005	0.0008	0.0008	0.0	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0
0.001	0.0092	0.001	0.001	0.7174	0.0011	0.0003	0.0001	0.0001	0.0257	0.0001	0.0003	0.0003	0.1097	0.0003	0.0001	0.026	0.0001	0.0261	0.0001	0.0263	0.0	0.0	0.0068	0.0	0.0	0.0031	0.0	0.0031	0.0	0.0031	0.0	0.0069	0.0	0.0069	0.0	0.007	0.0031	0.0	0.0032	0.0032	0.0	0.0008	0.0	0.0008	0.0	0.0008	0.0004	0.0	0.0004	0.0004	0.0008	0.0	0.0008	0.0008	0.0005	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0
0.0012	0.8361	0.0013	0.0013	0.0014	0.0013	0.0216	0.0001	0.0001	0.0001	0.0001	0.022	0.022	0.0241	0.0224	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0032	0.0032	0.0033	0.0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0032	0.0034	0.0033	0.0034	0.0033	0.0034	0.0	0.0	0.0	0.0	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0	0.0	0.0	0.0	0.0009	0.0009	0.0009	0.0009	0.0	0.0003	0.0003	0.0003	0.0003	0.0	0.0003	0.0001
0.0012	0.8361	0.0013	0.0013	0.0014	0.0013	0.0216	0.0001	0.0001	0.0001	0.0001	0.022	0.022	0.0241	0.0224	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0032	0.0032	0.0033	0.0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0032	0.0034	0.0033	0.0034	0.0033	0.0034	0.0	0.0	0.0	0.0	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.0	0.0	0.0	0.0	0.0009	0.0009	0.0009	0.0009	0.0	0.0003	0.0003	0.0003	0.0003	0.0	0.0003	0.0001
0.0046	0.0144	0.8275	0.0047	0.0047	0.0047	0.0006	0.0133	0.0002	0.0002	0.0002	0.0309	0.0006	0.0006	0.0006	0.0138	0.0138	0.0139	0.0002	0.0002	0.0002	0.0046	0.0001	0.0001	0.0001	0.0028	0.0028	0.0028	0.0001	0.0001	0.0001	0.0046	0.0046	0.0047	0.0001	0.0001	0.0001	0.0028	0.0028	0.0028	0.0001	0.0013	0.0013	0.0013	0.0001	0.0001	0.0001	0.0009	0.0009	0.0009	0.0	0.0013	0.0013	0.0013	0.0001	0.0009	0.0005	0.0005	0.0005	0.0	0.0003	0.0005	0.0002
0.0001	0.9947	0.0004	0.0001	0.0001	0.0001	0.0007	0.0	0.0	0.0	0.0	0.0012	0.0007	0.0007	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0452	0.0057	0.0	0.0	0.0	0.0008	0.0002	0.0	0.0	0.0	0.8183	0.0008	0.0008	0.0008	0.0002	0.0002	0.0002	0.0	0.0	0.0	0.0282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0286	0.0287	0.0288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0019	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0019	0.0019	0.0	0.0	0.0002	0.0002	0.0002	0.0	0.0	0.0002	0.0
