x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63
0.001	0.001	0.0149	0.001	0.001	0.0149	0.0015	0.0124	0.0015	0.0015	0.0124	0.0124	0.0015	0.0015	0.0124	0.0124	0.0124	0.0482	0.0015	0.0124	0.0124	0.0112	0.0019	0.0019	0.0112	0.0112	0.0112	0.042	0.0019	0.0112	0.0112	0.0112	0.0112	0.042	0.0019	0.0112	0.0112	0.0112	0.042	0.042	0.0112	0.0105	0.0105	0.0377	0.0021	0.0105	0.0105	0.0105	0.0377	0.0377	0.0105	0.0105	0.0377	0.0377	0.0105	0.0377	0.0099	0.0341	0.0341	0.0099	0.0341	0.0341	0.031
0.0013	0.0013	0.0013	0.0013	0.0013	0.066	0.0017	0.0017	0.0017	0.0017	0.0448	0.0017	0.0017	0.0017	0.0448	0.0017	0.0017	0.0448	0.0017	0.0448	0.0448	0.0018	0.0018	0.0018	0.0321	0.0018	0.0018	0.0321	0.0018	0.0321	0.0321	0.0018	0.0018	0.0321	0.0018	0.0321	0.0321	0.0018	0.0321	0.0321	0.0321	0.0017	0.0017	0.0236	0.0017	0.0236	0.0236	0.0017	0.0236	0.0236	0.0236	0.0017	0.0236	0.0236	0.0236	0.0236	0.0016	0.0176	0.0176	0.0176	0.0176	0.0176	0.0133
0.0	0.0005	0.0005	0.0005	0.0005	0.0	0.0006	0.0006	0.0006	0.0006	0.0001	0.0044	0.0044	0.0044	0.0006	0.0044	0.0044	0.0006	0.0044	0.0006	0.0006	0.0044	0.0044	0.0044	0.0006	0.0044	0.0044	0.0006	0.0044	0.0006	0.0006	0.029	0.029	0.0044	0.029	0.0044	0.0044	0.029	0.0044	0.0044	0.0044	0.0257	0.0257	0.0043	0.0257	0.0043	0.0043	0.0257	0.0043	0.0043	0.0043	0.1444	0.0257	0.0257	0.0257	0.0257	0.1175	0.0224	0.0224	0.0224	0.0224	0.1175	0.0955
0.0004	0.2997	0.0004	0.0004	0.0004	0.0004	0.0812	0.0002	0.0002	0.0002	0.0002	0.0812	0.0812	0.0812	0.0812	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.022	0.022	0.022	0.022	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.022	0.022	0.022	0.022	0.022	0.022	0.0001	0.0001	0.0001	0.0001	0.006	0.006	0.006	0.006	0.006	0.006	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.006	0.0	0.0016	0.0016	0.0016	0.0016	0.0	0.0016	0.0004
0.0004	0.0004	0.0004	0.0004	0.2997	0.0004	0.0002	0.0002	0.0002	0.0812	0.0002	0.0002	0.0002	0.0812	0.0002	0.0002	0.0812	0.0002	0.0812	0.0002	0.0812	0.0001	0.0001	0.022	0.0001	0.0001	0.022	0.0001	0.022	0.0001	0.022	0.0001	0.022	0.0001	0.022	0.0001	0.022	0.022	0.0001	0.022	0.022	0.0	0.006	0.0	0.006	0.0	0.006	0.006	0.0	0.006	0.006	0.006	0.0	0.006	0.006	0.006	0.0016	0.0	0.0016	0.0016	0.0016	0.0016	0.0004
0.001	0.0978	0.001	0.001	0.001	0.001	0.0559	0.0011	0.0011	0.0011	0.0011	0.0559	0.0559	0.0559	0.0559	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.033	0.033	0.033	0.033	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.033	0.033	0.033	0.033	0.033	0.033	0.0009	0.0009	0.0009	0.0009	0.0197	0.0197	0.0197	0.0197	0.0197	0.0197	0.0007	0.0007	0.0007	0.0007	0.0197	0.0197	0.0197	0.0197	0.0007	0.0119	0.0119	0.0119	0.0119	0.0005	0.0119	0.0072
0.001	0.0978	0.001	0.001	0.001	0.001	0.0559	0.0011	0.0011	0.0011	0.0011	0.0559	0.0559	0.0559	0.0559	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.033	0.033	0.033	0.033	0.0009	0.0009	0.0009	0.0009	0.0009	0.0009	0.033	0.033	0.033	0.033	0.033	0.033	0.0009	0.0009	0.0009	0.0009	0.0197	0.0197	0.0197	0.0197	0.0197	0.0197	0.0007	0.0007	0.0007	0.0007	0.0197	0.0197	0.0197	0.0197	0.0007	0.0119	0.0119	0.0119	0.0119	0.0005	0.0119	0.0072
0.0011	0.0011	0.0879	0.0011	0.0011	0.0011	0.0012	0.0528	0.0012	0.0012	0.0012	0.0528	0.0012	0.0012	0.0012	0.0528	0.0528	0.0528	0.0012	0.0012	0.0012	0.033	0.0011	0.0011	0.0011	0.033	0.033	0.033	0.0011	0.0011	0.0011	0.033	0.033	0.033	0.0011	0.0011	0.0011	0.033	0.033	0.033	0.0011	0.0209	0.0209	0.0209	0.0009	0.0009	0.0009	0.0209	0.0209	0.0209	0.0009	0.0209	0.0209	0.0209	0.0009	0.0209	0.0134	0.0134	0.0134	0.0007	0.0134	0.0134	0.0086
0.0002	0.4968	0.0002	0.0002	0.0002	0.0002	0.0745	0.0001	0.0001	0.0001	0.0001	0.0745	0.0745	0.0745	0.0745	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0111	0.0111	0.0111	0.0111	0.0	0.0	0.0	0.0	0.0	0.0	0.0111	0.0111	0.0111	0.0111	0.0111	0.0111	0.0	0.0	0.0	0.0	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0	0.0	0.0	0.0	0.0017	0.0017	0.0017	0.0017	0.0	0.0002	0.0002	0.0002	0.0002	0.0	0.0002	0.0
0.0	0.0028	0.0028	0.0	0.0	0.0	0.0006	0.0006	0.0	0.0	0.0	0.5658	0.0006	0.0006	0.0006	0.0006	0.0006	0.0006	0.0	0.0	0.0	0.0846	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0846	0.0846	0.0846	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0127	0.0127	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0127	0.0127	0.0127	0.0	0.0	0.0019	0.0019	0.0019	0.0	0.0	0.0019	0.0003
