x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64
0.0	0.0002	0.0002	0.0169	0.0002	0.0002	0.0169	0.0001	0.0034	0.0001	0.0001	0.0034	0.0034	0.0001	0.0001	0.0034	0.0034	0.0034	0.6699	0.0001	0.0034	0.0034	0.0016	0.0001	0.0001	0.0016	0.0016	0.0016	0.0499	0.0001	0.0016	0.0016	0.0016	0.0016	0.0499	0.0001	0.0016	0.0016	0.0016	0.0499	0.0499	0.0016	0.0011	0.0011	0.0048	0.0001	0.0011	0.0011	0.0011	0.0048	0.0048	0.0011	0.0011	0.0048	0.0048	0.0011	0.0048	0.0009	0.0019	0.0019	0.0009	0.0019	0.0019	0.0015
0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.3065	0.0006	0.0006	0.0006	0.0006	0.0415	0.0006	0.0006	0.0006	0.0415	0.0006	0.0006	0.0415	0.0006	0.0415	0.0415	0.0005	0.0005	0.0005	0.0222	0.0005	0.0005	0.0222	0.0005	0.0222	0.0222	0.0005	0.0005	0.0222	0.0005	0.0222	0.0222	0.0005	0.0222	0.0222	0.0222	0.0005	0.0005	0.0165	0.0005	0.0165	0.0165	0.0005	0.0165	0.0165	0.0165	0.0005	0.0165	0.0165	0.0165	0.0165	0.0004	0.0133	0.0133	0.0133	0.0133	0.0133	0.0112
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0007	0.0007	0.0	0.0007	0.0007	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0289	0.0289	0.0	0.0289	0.0	0.0	0.0289	0.0	0.0	0.0	0.0009	0.0009	0.0	0.0009	0.0	0.0	0.0009	0.0	0.0	0.0	0.8328	0.0009	0.0009	0.0009	0.0009	0.0199	0.0	0.0	0.0	0.0	0.0199	0.0004
0.0	0.0003	0.8552	0.0003	0.0003	0.0003	0.0003	0.0091	0.0001	0.0001	0.0001	0.0001	0.0091	0.0091	0.0091	0.0091	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0046	0.0046	0.0046	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0046	0.0046	0.0046	0.0046	0.0046	0.0	0.0	0.0	0.0	0.0035	0.0035	0.0035	0.0035	0.0035	0.0035	0.0	0.0	0.0	0.0	0.0035	0.0035	0.0035	0.0035	0.0	0.0028	0.0028	0.0028	0.0028	0.0	0.0028	0.0023
0.0	0.0003	0.0003	0.0003	0.0003	0.8552	0.0003	0.0001	0.0001	0.0001	0.0091	0.0001	0.0001	0.0001	0.0091	0.0001	0.0001	0.0091	0.0001	0.0091	0.0001	0.0091	0.0	0.0	0.0046	0.0	0.0	0.0046	0.0	0.0046	0.0	0.0046	0.0	0.0046	0.0	0.0046	0.0	0.0046	0.0046	0.0	0.0046	0.0046	0.0	0.0035	0.0	0.0035	0.0	0.0035	0.0035	0.0	0.0035	0.0035	0.0035	0.0	0.0035	0.0035	0.0035	0.0028	0.0	0.0028	0.0028	0.0028	0.0028	0.0023
0.0	0.001	0.4641	0.001	0.001	0.001	0.001	0.0329	0.0003	0.0003	0.0003	0.0003	0.0329	0.0329	0.0329	0.0329	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0171	0.0171	0.0171	0.0171	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0171	0.0171	0.0171	0.0171	0.0171	0.0171	0.0002	0.0002	0.0002	0.0002	0.0128	0.0128	0.0128	0.0128	0.0128	0.0128	0.0002	0.0002	0.0002	0.0002	0.0128	0.0128	0.0128	0.0128	0.0002	0.0103	0.0103	0.0103	0.0103	0.0002	0.0103	0.0086
0.0	0.001	0.4641	0.001	0.001	0.001	0.001	0.0329	0.0003	0.0003	0.0003	0.0003	0.0329	0.0329	0.0329	0.0329	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0171	0.0171	0.0171	0.0171	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0171	0.0171	0.0171	0.0171	0.0171	0.0171	0.0002	0.0002	0.0002	0.0002	0.0128	0.0128	0.0128	0.0128	0.0128	0.0128	0.0002	0.0002	0.0002	0.0002	0.0128	0.0128	0.0128	0.0128	0.0002	0.0103	0.0103	0.0103	0.0103	0.0002	0.0103	0.0086
0.0	0.0011	0.0011	0.4212	0.0011	0.0011	0.0011	0.0004	0.0353	0.0004	0.0004	0.0004	0.0353	0.0004	0.0004	0.0004	0.0353	0.0353	0.0353	0.0004	0.0004	0.0004	0.0185	0.0003	0.0003	0.0003	0.0185	0.0185	0.0185	0.0003	0.0003	0.0003	0.0185	0.0185	0.0185	0.0003	0.0003	0.0003	0.0185	0.0185	0.0185	0.0003	0.0138	0.0138	0.0138	0.0003	0.0003	0.0003	0.0138	0.0138	0.0138	0.0003	0.0138	0.0138	0.0138	0.0003	0.0138	0.0111	0.0111	0.0111	0.0003	0.0111	0.0111	0.0093
0.0	0.0001	0.9549	0.0001	0.0001	0.0001	0.0001	0.0028	0.0	0.0	0.0	0.0	0.0028	0.0028	0.0028	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0014	0.0014	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0	0.0	0.0	0.0	0.0011	0.0011	0.0011	0.0011	0.0	0.0009	0.0009	0.0009	0.0009	0.0	0.0009	0.0007
0.0	0.0	0.0013	0.0013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0008	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
