x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64
0.0	0.1331	0.1732	0.173	0.1731	0.1733	0.1738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.126	0.1852	0.186	0.1853	0.1854	0.1314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0343	0.0349	0.0412	0.036	0.0364	0.5322	0.0054	0.0057	0.0054	0.0054	0.0173	0.0057	0.0054	0.0054	0.0175	0.0057	0.0057	0.0199	0.0055	0.0177	0.0178	0.0032	0.0031	0.0031	0.0051	0.0032	0.0032	0.0054	0.0031	0.0051	0.0052	0.0032	0.0032	0.0054	0.0031	0.0052	0.0052	0.0032	0.0054	0.0054	0.0052	0.0021	0.0021	0.0031	0.0021	0.003	0.003	0.0021	0.0031	0.0031	0.003	0.0021	0.0031	0.0031	0.003	0.0032	0.0016	0.0021	0.0021	0.002	0.0021	0.0021	0.0015
0.0	0.0309	0.0487	0.0341	0.0344	0.3415	0.0357	0.0098	0.0087	0.0087	0.0255	0.0087	0.01	0.01	0.0365	0.0101	0.0088	0.0268	0.0089	0.0268	0.0089	0.0273	0.0056	0.0056	0.0095	0.0056	0.0051	0.0084	0.0051	0.0084	0.0051	0.0085	0.0056	0.0097	0.0057	0.0096	0.0057	0.0097	0.0086	0.0052	0.0086	0.0086	0.0037	0.0055	0.0037	0.0055	0.0037	0.0055	0.005	0.0035	0.0051	0.0051	0.0055	0.0038	0.0056	0.0056	0.0051	0.0037	0.0027	0.0037	0.0037	0.0034	0.0037	0.0027
0.0	0.0291	0.4948	0.0317	0.0316	0.032	0.0325	0.0229	0.0064	0.0064	0.0064	0.0064	0.0242	0.0239	0.024	0.0242	0.0065	0.0065	0.0066	0.0065	0.0066	0.0066	0.0062	0.0062	0.0062	0.0063	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0064	0.0064	0.0064	0.0064	0.0064	0.0064	0.0037	0.0037	0.0037	0.0037	0.0036	0.0036	0.0036	0.0036	0.0036	0.0036	0.0024	0.0024	0.0024	0.0024	0.0037	0.0037	0.0037	0.0037	0.0025	0.0024	0.0024	0.0024	0.0024	0.0018	0.0024	0.0018
0.0	0.0301	0.5431	0.0317	0.0314	0.0405	0.0323	0.0179	0.0054	0.0053	0.0058	0.0054	0.0186	0.0183	0.0221	0.0184	0.0054	0.0059	0.0054	0.0059	0.0054	0.0059	0.0052	0.0051	0.0056	0.0052	0.0031	0.0032	0.0031	0.0032	0.0031	0.0032	0.0052	0.0056	0.0052	0.0056	0.0052	0.0056	0.0032	0.0031	0.0033	0.0032	0.003	0.0032	0.003	0.0032	0.003	0.0032	0.0021	0.002	0.0021	0.0021	0.0032	0.003	0.0032	0.0032	0.0021	0.0021	0.002	0.0021	0.0021	0.0015	0.0021	0.0015
0.0	0.0301	0.5431	0.0317	0.0314	0.0405	0.0323	0.0179	0.0054	0.0053	0.0058	0.0054	0.0186	0.0183	0.0221	0.0184	0.0054	0.0059	0.0054	0.0059	0.0054	0.0059	0.0052	0.0051	0.0056	0.0052	0.0031	0.0032	0.0031	0.0032	0.0031	0.0032	0.0052	0.0056	0.0052	0.0056	0.0052	0.0056	0.0032	0.0031	0.0033	0.0032	0.003	0.0032	0.003	0.0032	0.003	0.0032	0.0021	0.002	0.0021	0.0021	0.0032	0.003	0.0032	0.0032	0.0021	0.0021	0.002	0.0021	0.0021	0.0015	0.0021	0.0015
0.0	0.0805	0.3103	0.2675	0.0848	0.0829	0.0832	0.0043	0.0027	0.0017	0.0017	0.0017	0.0059	0.0047	0.0045	0.0045	0.003	0.0029	0.0029	0.0018	0.0018	0.0017	0.0017	0.0015	0.0015	0.0015	0.0012	0.0012	0.0012	0.001	0.001	0.001	0.0017	0.0017	0.0017	0.0015	0.0015	0.0015	0.0012	0.0012	0.0012	0.001	0.001	0.001	0.001	0.0009	0.0009	0.0009	0.0008	0.0008	0.0008	0.0007	0.001	0.001	0.001	0.0009	0.0008	0.0007	0.0007	0.0007	0.0006	0.0006	0.0007	0.0005
0.0	0.0835	0.3207	0.3291	0.0851	0.085	0.0853	0.0004	0.0005	0.0002	0.0002	0.0002	0.0009	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.0	0.0344	0.199	0.0614	0.0386	0.039	0.0398	0.0307	0.0124	0.0107	0.0107	0.0107	0.0479	0.0324	0.0324	0.0327	0.0127	0.0126	0.0127	0.0109	0.0109	0.0109	0.012	0.0104	0.0104	0.0104	0.0069	0.0069	0.007	0.0063	0.0063	0.0063	0.0122	0.0122	0.0122	0.0106	0.0106	0.0106	0.007	0.0071	0.007	0.0064	0.0068	0.0068	0.0068	0.0062	0.0062	0.0062	0.0046	0.0046	0.0046	0.0043	0.0069	0.0069	0.0069	0.0063	0.0046	0.0045	0.0045	0.0045	0.0042	0.0033	0.0046	0.0033
